"Number of passengers traffic by types of transport (*) by Items, Year and Types of transport"

"Items";"Year";"Total";"Railways";"Road";"Inland waterways";"Aviation transport"
"Number of passengers traffic (Mill. persons.km)";"1995";24109.3;2133.3;15944.4;1937.3;4094.3
"Number of passengers traffic (Mill. persons.km)";"1996";26440.5;2260.7;18024.8;2207.0;3948.0
"Number of passengers traffic (Mill. persons.km)";"1997";27776.1;2476.4;19074.4;2303.3;3922.0
"Number of passengers traffic (Mill. persons.km)";"1998";28983.4;2542.3;20179.3;2394.8;3867.0
"Number of passengers traffic (Mill. persons.km)";"1999";30506.3;2722.0;21276.8;2465.5;4042.0
"Number of passengers traffic (Mill. persons.km)";"2000";32468.2;3199.9;22375.8;2509.5;4383.0
"Number of passengers traffic (Mill. persons.km)";"2001";35624.2;3426.1;23394.9;2692.5;6110.7
"Number of passengers traffic (Mill. persons.km)";"2002";39353.5;3697.2;25597.5;2957.4;7101.4
"Number of passengers traffic (Mill. persons.km)";"2003";44378.9;4069.0;30458.5;2739.4;7112.0
"Number of passengers traffic (Mill. persons.km)";"2004";51167.0;4376.3;34265.6;3158.1;9367.0
"Number of passengers traffic (Mill. persons.km)";"2005";57695.7;4562.7;38601.7;3407.1;11124.2
"Number of passengers traffic (Mill. persons.km)";"2006";63908.8;4333.7;43569.1;3189.4;12816.6
"Number of passengers traffic (Mill. persons.km)";"2007";71864.6;4659.5;49372.1;3151.4;14681.6
"Number of passengers traffic (Mill. persons.km)";"2008";78180.0;4560.4;54221.1;3246.2;16152.3
"Number of passengers traffic (Mill. persons.km)";"2009";85202.7;4138.1;61508.8;3048.2;16507.6
"Number of passengers traffic (Mill. persons.km)";"2010";97931.8;4377.9;69197.4;3194.5;21162.0
"Number of passengers traffic (Mill. persons.km)";"2011";108709.0;4571.0;78013.3;2855.7;23269.0
"Number of passengers traffic (Mill. persons.km)";"2012";116043.7;4600.6;84982.0;2835.1;23626.0
"Number of passengers traffic (Mill. persons.km)";"2013";124528.2;4416.6;90319.8;2914.1;26877.7
"Number of passengers traffic (Mill. persons.km)";"2014";139060.4;4481.9;96885.3;2985.7;34707.5
"Number of passengers traffic (Mill. persons.km)";"2015";154664.7;4149.6;105382.2;3064.5;42068.4
"Number of passengers traffic (Mill. persons.km)";"Prel.2016";168853.1;3391.2;114008.1;3217.2;48236.6
"Index (Previous year = 100) (%)";"1995";115.3;118.8;107.9;108.5;172.7
"Index (Previous year = 100) (%)";"1996";109.7;106.0;113.0;113.9;96.4
"Index (Previous year = 100) (%)";"1997";105.1;109.5;105.8;104.4;99.3
"Index (Previous year = 100) (%)";"1998";104.3;102.7;105.8;104.0;98.6
"Index (Previous year = 100) (%)";"1999";105.3;107.1;105.4;103.0;104.5
"Index (Previous year = 100) (%)";"2000";106.4;117.6;105.2;101.8;108.4
"Index (Previous year = 100) (%)";"2001";109.7;107.1;104.6;107.3;139.4
"Index (Previous year = 100) (%)";"2002";110.5;107.9;109.4;109.8;116.2
"Index (Previous year = 100) (%)";"2003";112.8;110.1;119.0;92.6;100.1
"Index (Previous year = 100) (%)";"2004";115.3;107.6;112.5;115.3;131.7
"Index (Previous year = 100) (%)";"2005";112.8;104.3;112.7;107.9;118.8
"Index (Previous year = 100) (%)";"2006";110.8;95.0;112.9;93.6;115.2
"Index (Previous year = 100) (%)";"2007";112.4;107.5;113.3;98.8;114.6
"Index (Previous year = 100) (%)";"2008";108.8;97.9;109.8;103.0;110.0
"Index (Previous year = 100) (%)";"2009";109.0;90.7;113.4;93.9;102.2
"Index (Previous year = 100) (%)";"2010";114.9;105.8;112.5;104.8;128.2
"Index (Previous year = 100) (%)";"2011";111.0;104.4;112.7;89.4;110.0
"Index (Previous year = 100) (%)";"2012";106.7;100.6;108.9;99.3;101.5
"Index (Previous year = 100) (%)";"2013";107.3;96.0;106.3;102.8;113.8
"Index (Previous year = 100) (%)";"2014";111.7;101.5;107.3;102.5;129.1
"Index (Previous year = 100) (%)";"2015";111.2;92.6;108.8;102.6;121.2
"Index (Previous year = 100) (%)";"Prel.2016";109.2;81.7;108.2;105.0;114.7
